"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1485","Navigation from login page to registration page","LMS system","Sun Feb 08 10:46:58 UTC 2026","passed","Sun Feb 08 10:47:00 UTC 2026","Authorization","Authentication","",""
"","1428","Check displaying of dashboard page","LMS system","Sun Feb 08 10:47:23 UTC 2026","passed","Sun Feb 08 10:47:25 UTC 2026","Dashboard","Dashboard","",""
"","4658","Create course","LMS system","Sun Feb 08 10:47:10 UTC 2026","passed","Sun Feb 08 10:47:15 UTC 2026","Courses","Courses","",""
"","1930","User login with wrong email or password","LMS system","Sun Feb 08 10:46:49 UTC 2026","passed","Sun Feb 08 10:46:51 UTC 2026","Authorization","Authentication","",""
"","6067","User login with correct email and password","LMS system","Sun Feb 08 10:46:51 UTC 2026","passed","Sun Feb 08 10:46:58 UTC 2026","Authorization","Authentication","",""
"","1536","User login with wrong email or password","LMS system","Sun Feb 08 10:46:45 UTC 2026","passed","Sun Feb 08 10:46:46 UTC 2026","Authorization","Authentication","",""
"","2073","Check displaying of dashboard page","LMS system","Sun Feb 08 10:47:21 UTC 2026","passed","Sun Feb 08 10:47:23 UTC 2026","Dashboard","Dashboard","",""
"","3077","test_successful_registration[webkit]","tests.authentication","Sun Feb 08 10:47:03 UTC 2026","passed","Sun Feb 08 10:47:06 UTC 2026","","test_successful_registration","",""
"","6869","Edit course","LMS system","Sun Feb 08 10:47:15 UTC 2026","passed","Sun Feb 08 10:47:22 UTC 2026","Courses","Courses","",""
"","1567","User login with wrong email or password","LMS system","Sun Feb 08 10:46:45 UTC 2026","passed","Sun Feb 08 10:46:46 UTC 2026","Authorization","Authentication","",""
"","1388","Check displaying of empty courses list","LMS system","Sun Feb 08 10:47:08 UTC 2026","passed","Sun Feb 08 10:47:09 UTC 2026","Courses","Courses","",""
"","2082","User login with wrong email or password","LMS system","Sun Feb 08 10:46:49 UTC 2026","passed","Sun Feb 08 10:46:51 UTC 2026","Authorization","Authentication","",""
"","1697","test_successful_registration[chromium]","tests.authentication","Sun Feb 08 10:47:04 UTC 2026","passed","Sun Feb 08 10:47:06 UTC 2026","","test_successful_registration","",""
"","3326","Registration with correct email, username and password","LMS system","Sun Feb 08 10:47:00 UTC 2026","passed","Sun Feb 08 10:47:03 UTC 2026","Registration","Authentication","",""
"","3405","User login with correct email and password","LMS system","Sun Feb 08 10:46:54 UTC 2026","passed","Sun Feb 08 10:46:58 UTC 2026","Authorization","Authentication","",""
"","1288","Navigation from login page to registration page","LMS system","Sun Feb 08 10:46:58 UTC 2026","passed","Sun Feb 08 10:46:59 UTC 2026","Authorization","Authentication","",""
"","2099","User login with wrong email or password","LMS system","Sun Feb 08 10:46:52 UTC 2026","passed","Sun Feb 08 10:46:54 UTC 2026","Authorization","Authentication","",""
"","951","User login with wrong email or password","LMS system","Sun Feb 08 10:46:47 UTC 2026","passed","Sun Feb 08 10:46:48 UTC 2026","Authorization","Authentication","",""
"","3817","Create course","LMS system","Sun Feb 08 10:47:10 UTC 2026","passed","Sun Feb 08 10:47:14 UTC 2026","Courses","Courses","",""
"","1450","Check displaying of empty courses list","LMS system","Sun Feb 08 10:47:08 UTC 2026","passed","Sun Feb 08 10:47:09 UTC 2026","Courses","Courses","",""
"","4420","Edit course","LMS system","Sun Feb 08 10:47:15 UTC 2026","passed","Sun Feb 08 10:47:20 UTC 2026","Courses","Courses","",""
"","1984","Registration with correct email, username and password","LMS system","Sun Feb 08 10:47:00 UTC 2026","passed","Sun Feb 08 10:47:02 UTC 2026","Registration","Authentication","",""
